id,generic_name,status,therapeutic_category,dosage_form,company_name,initial_posting_date,brand_name,route
1372,Furosemide Injection,Current,Cardiovascular,Injection,Eugia US LLC,04/07/2020,FUROSEMIDE,"INTRAMUSCULAR, INTRAVENOUS"
1373,Triamcinolone Acetonide Injection,Resolved,Ophthalmology,Injection,"Harrow Eye, LLC",09/27/2021,TRIESENCE,OPHTHALMIC
1374,"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Psychiatry,Tablet,"Teva Pharmaceuticals USA, Inc.",07/26/2023,METHYLPHENIDATE HYDROCHLORIDE,ORAL
1375,Dextrose Monohydrate 5% Injection,Current,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Injection,Baxter Healthcare,02/14/2022,DEXTROSE,INTRAVENOUS
1376,Caspofungin Acetate Injection,To Be Discontinued,Anti-Infective,Injection,"Fresenius Kabi USA, LLC",01/12/2026,CASPOFUNGIN ACETATE,INTRAVENOUS
1377,Desipramine Hydrochloride Tablet,To Be Discontinued,Psychiatry,Tablet,"Avet Pharmaceuticals, Inc.",08/12/2025,DESIPRAMINE HYDROCHLORIDE,ORAL
1378,Quinapril Hydrochloride Tablet,Current,Cardiovascular,Tablet,"Solco Healthcare US, LLC",01/19/2023,QUINAPRIL,ORAL
1379,Furosemide Injection,To Be Discontinued,Cardiovascular,Injection,Gland Pharma Limited,04/28/2026,FUROSEMIDE,"INTRAMUSCULAR, INTRAVENOUS"
1380,Albuterol Sulfate Solution,Current,"Pediatric, Pulmonary/Allergy",Solution,"Ritedose Pharmaceuticals, LLC",10/25/2022,"ALBUTEROL SULFATE INHALATION SOLUTION, 0.5%",RESPIRATORY (INHALATION)
1381,Methylprednisolone Acetate Injection,Current,Rheumatology,Injection,Pfizer Inc.,12/15/2021,DEPO-MEDROL,"INTRALESIONAL, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE"
1382,Dopamine Hydrochloride Injection,Current,Cardiovascular,Injection,"Hospira, Inc., a Pfizer Company",11/06/2017,DOPAMINE HYDROCHLORIDE IN DEXTROSE,INTRAVENOUS
1384,Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Injection,"Mylan Institutional, a Viatris Company",04/10/2020,DEXMEDETOMIDINE,INTRAVENOUS
1385,Atropine Sulfate Injection,Current,"Anesthesia, Neurology, Pediatric",Injection,Accord Healthcare Inc.,01/01/2020,ATROPINE SULFATE,INTRAVENOUS
1386,Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,Injection,"Fresenius Kabi USA, LLC",10/31/2017,HYDROMORPHONE HYDROCHLORIDE,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"
1387,Bupivacaine Hydrochloride Injection,Current,Anesthesia,Injection,"Hospira, Inc., a Pfizer Company",02/20/2018,BUPIVACAINE HYDROCHLORIDE,"EPIDURAL, RETROBULBAR"
1388,Morphine Sulfate Injection,Current,Analgesia/Addiction,Injection,"Fresenius Kabi USA, LLC",10/31/2017,MORPHINE SULFATE,"INTRAMUSCULAR, INTRAVENOUS"
1389,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Current,"Anesthesia, Pediatric",Injection,"Hospira, Inc., a Pfizer Company",02/22/2012,LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE,EPIDURAL
1390,Carboplatin Injection,Current,Oncology,Injection,"Teva Pharmaceuticals USA, Inc.",04/28/2023,CARBOPLATIN,INTRAVENOUS
1392,Ropivacaine Hydrochloride Injection,Current,Anesthesia,Injection,"Fresenius Kabi USA, LLC",03/23/2018,NAROPIN,EPIDURAL
1393,Lidocaine Hydrochloride Injection,Current,Anesthesia,Injection,"Huons Co., Ltd. (South Korea)",07/14/2018,LIDOCAINE HYDROCHLORIDE,INTRAVENOUS
1394,Amino Acid Injection,Current,Gastroenterology,Injection,Baxter Healthcare,12/08/2020,CLINISOL,INTRAVENOUS
1395,Quinapril/Hydrochlorothiazide Tablet,Current,Cardiovascular,Tablet,Aurobindo Pharma USA,01/19/2023,QUINAPRIL HYDROCHLORIDE/HYDROCHLOROTHIAZIDE,ORAL
1396,Ivabradine Solution,To Be Discontinued,Cardiovascular,Solution,Amgen Inc.,03/24/2026,CORLANOR,ORAL
1397,"Carbamazepine Capsule, Extended Release",To Be Discontinued,Neurology,"Capsule, Extended Release",Takeda Pharmaceuticals USA Inc.,12/19/2025,CARBATROL,ORAL
1398,Dextrose Monohydrate 10% Injection,Current,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Injection,B. Braun Medical Inc.,03/01/2022,DEXTROSE,INTRAVENOUS
1399,Rifampin Capsule,Current,Anti-Infective,Capsule,"Lupin Pharmaceuticals, Inc.",12/22/2021,RIFAMPIN,ORAL
1400,Ketorolac Tromethamine Injection,Current,Analgesia/Addiction,Injection,Baxter Healthcare,06/06/2018,KETOROLAC TROMETHAMINE,"INTRAMUSCULAR, INTRAVENOUS"
