id,generic_name,status,therapeutic_category,dosage_form,company_name,initial_posting_date,brand_name,route
1,Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,Injection,"Hospira, Inc., a Pfizer Company",10/31/2017,HYDROMORPHONE HYDROCHLORIDE,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"
4,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Current,"Anesthesia, Pediatric",Injection,"Hospira, Inc., a Pfizer Company",02/22/2012,LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL"
5,Riluzole Oral Suspension,Current,Neurology,Oral Suspension,"EDW Pharma, Inc. (formerly Italfarmaco Pharma, Inc.)",01/26/2024,TEGLUTIK,ORAL
6,Adalimumab-adaz Injection,To Be Discontinued,Rheumatology,Injection,Sandoz Inc.,01/13/2026,HYRIMOZ,
7,Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Capsule,"Mylan Pharmaceuticals Inc., a Viatris Company",07/14/2023,LISDEXAMFETAMINE DIMESYLATE,ORAL
8,"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Anesthesia,Injection,"Hospira, Inc., a Pfizer Company",02/20/2018,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,"EPIDURAL, INTRACAUDAL, PERINEURAL"
9,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Tablet,Sandoz Inc.,10/12/2022,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",ORAL
10,Dextrose Monohydrate 5% Injection,Current,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Injection,Otsuka ICU Medical LLC,02/14/2022,DEXTROSE,INTRAVENOUS
11,"Potassium Chloride Tablet, Extended Release",To Be Discontinued,"Endocrinology/Metabolism, Gastroenterology",Tablet,"Teva Pharmaceuticals USA, Inc.",11/21/2025,POTASSIUM CHLORIDE,ORAL
12,Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Capsule,Amneal Pharmaceuticals,07/14/2023,LISDEXAMFETAMINE DIMESYLATE,ORAL
14,Carboplatin Injection,Current,Oncology,Injection,Accord Healthcare Inc.,04/28/2023,CARBOPLATIN,INTRAVENOUS
15,Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Capsule,Rhodes Pharmaceuticals L.P.,01/11/2024,LISDEXAMFETAMINE DIMESYLATE,ORAL
16,"Donepezil Hydrochloride; Memantine Hydrochloride Capsule, Extended Release",To Be Discontinued,Neurology,"Capsule, Extended Release",Amneal Pharmaceuticals,06/15/2026,MEMANTINE AND DONEPEZIL HYDROCHLORIDES EXTENDED-RELEASE,ORAL
17,Promethazine Hydrochloride Injection,Current,"Analgesia/Addiction, Gastroenterology, Pediatric, Pulmonary/Allergy",Injection,"Hikma Pharmaceuticals USA, Inc.",11/21/2023,PROMETHAZINE HYDROCHLORIDE,INTRAMUSCULAR
18,"Lisdexamfetamine Dimesylate Tablet, Chewable",Current,Psychiatry,"Tablet, Chewable",Novadoz Pharmaceuticals LLC,07/14/2023,LISDEXAMFETAMINE DIMESYLATE,ORAL
19,Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,Injection,"Fresenius Kabi USA, LLC",10/31/2017,DILAUDID,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"
20,"Cefotaxime Sodium Powder, for Solution",Current,"Anti-Infective, Pediatric","Powder, For Solution","Hikma Pharmaceuticals USA, Inc.",02/17/2015,CEFOTAXIME,"INTRAMUSCULAR, INTRAVENOUS"
21,Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Capsule,Takeda Pharmaceuticals USA Inc.,07/14/2023,VYVANSE,ORAL
22,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Current,"Anesthesia, Pediatric",Injection,"Fresenius Kabi USA, LLC",10/14/2016,XYLOCAINE,"INFILTRATION, PERINEURAL"
24,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Tablet,"Teva Pharmaceuticals USA, Inc.",10/12/2022,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",ORAL
26,Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Injection,Baxter Healthcare,04/10/2020,DEXMEDETOMIDINE HYDROCHLORIDE IN 0.9% SODIUM CHLORIDE,INTRAVENOUS
27,Promethazine Hydrochloride Injection,Current,"Analgesia/Addiction, Gastroenterology, Other, Pulmonary/Allergy",Injection,"XGen Pharmaceuticals DJB, Inc.",11/21/2023,PROMETHAZINE HYDROCHLORIDE,"INTRAMUSCULAR, INTRAVENOUS"
28,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Tablet,SpecGx LLC,10/12/2022,DEXTROAMPHETAMINE SACCHARATE AND AMPHETAMINE ASPARTATE AND DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE,ORAL
29,Albuterol Sulfate Solution,Current,"Pediatric, Pulmonary/Allergy",Solution,"Rising Pharma Holdings, Inc.",10/25/2022,ALBUTEROL SULFATE,RESPIRATORY (INHALATION)
30,Peginterferon alfa-2a Injection,Current,Antiviral,Injection,pharmaand GmbH (pharma&),01/24/2025,PEGASYS,SUBCUTANEOUS
32,Clindamycin Hydrochloride Capsule,To Be Discontinued,Anti-Infective,Capsule,Pfizer Inc.,02/25/2026,CLEOCIN HYDROCHLORIDE,ORAL
34,Flurazepam Hydrochloride Capsule,Current,"Neurology, Other",Capsule,Chartwell Molecular Holdings LLC,08/03/2022,FLURAZEPAM HYDROCHLORIDE,ORAL
35,Sterile Water Irrigant,Current,"Gastroenterology, Other, Pediatric",Irrigant,B. Braun Medical Inc.,04/28/2023,STERILE WATER,IRRIGATION
37,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Current,"Anesthesia, Pediatric",Injection,"Fresenius Kabi USA, LLC",10/14/2016,XYLOCAINE MPF,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL"
38,Clonazepam Tablet,Current,"Neurology, Pediatric, Psychiatry",Tablet,"Teva Pharmaceuticals USA, Inc.",03/10/2023,CLONAZEPAM,ORAL
39,Nitrofurantoin Oral Suspension,To Be Discontinued,"Anti-Infective, Other",Oral Suspension,Amneal Pharmaceuticals,04/10/2026,NITROFURANTOIN,ORAL
40,Gadobutrol Injection,To Be Discontinued,Medical Imaging,Injection,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.",06/30/2026,GADOBUTROL,INTRAVENOUS
41,Tafamidis Meglumine Capsule,To Be Discontinued,Cardiovascular,Capsule,Pfizer Inc.,09/29/2025,VYNDAQEL,ORAL
44,Dacomitinib Tablet,To Be Discontinued,Oncology,Tablet,Pfizer Inc.,06/08/2026,VIZIMPRO,ORAL
45,Paricalcitol Capsule,To Be Discontinued,Endocrinology/Metabolism,Capsule,AbbVie Inc.,10/07/2025,ZEMPLAR,ORAL
46,Glyburide Tablet,To Be Discontinued,Endocrinology/Metabolism,Tablet,Sanofi-Aventis U.S. LLC,08/10/2026,GLYBURIDE,ORAL
47,Triamcinolone Hexacetonide Injection,Current,Rheumatology,Injection,Medexus,05/04/2021,HEXATRIONE 2%,INTRA-ARTICULAR
48,Nitroglycerin Ointment,To Be Discontinued,Analgesia/Addiction,Ointment,AbbVie Inc.,04/14/2026,RECTIV,RECTAL
49,Fluphenazine Hydrochloride Tablet,To Be Discontinued,"Neurology, Psychiatry",Tablet,"Upsher-Smith Laboratories, LLC",09/18/2025,FLUPHENAZINE HYDROCHLORIDE,ORAL
50,Dextrose Monohydrate 5% Injection,Current,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Injection,Baxter Healthcare,02/14/2022,DEXTROSE,INTRAVENOUS
51,Rocuronium Bromide Injection,Current,Anesthesia,Injection,Sagent Pharmaceuticals,02/15/2023,ROCURONIUM BROMIDE,INTRAVENOUS
52,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Tablet,"Sunrise Pharmaceutical, Inc.",10/12/2022,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",ORAL
53,"Calcium Chloride; Dextrose; Magnesium Chloride; Sodium Chloride; Sodium Lactate Intraperitoneal Injection, Solution",To Be Discontinued,Renal,Solution,Vantive US Healthcare LLC,08/03/2026,DIANEAL LOW CALCIUM WITH DEXTROSE,INTRAPERITONEAL
54,Quinapril/Hydrochlorothiazide Tablet,Current,Cardiovascular,Tablet,Chartwell Molecular Holdings LLC,01/19/2023,QUINAPRIL AND HYDROCHLOROTHIAZIDE,ORAL
55,"Fluvastatin Sodium Tablet, Extended Release",To Be Discontinued,Cardiovascular,Tablet,Sandoz Inc.,01/27/2026,FLUVASTATIN SODIUM ER,ORAL
56,Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Injection,Pfizer Inc.,04/10/2020,PRECEDEX,INTRAVENOUS
58,Hydrocortisone Acetate Suppository,To Be Discontinued,"Analgesia/Addiction, Other",Suppository,Padagis US LLC,07/23/2026,HYDROCORTISONE ACETATE,RECTAL
59,Bupivacaine Hydrochloride Injection,Current,Anesthesia,Injection,"Hospira, Inc., a Pfizer Company",02/20/2018,BUPIVACAINE SPINAL,SUBARACHNOID
60,Promethazine Hydrochloride Injection,Current,"Analgesia/Addiction, Gastroenterology, Other, Pulmonary/Allergy",Injection,"XGen Pharmaceuticals DJB, Inc.",11/21/2023,PROMETHAZINE HYDROCHLORIDE,"INTRAMUSCULAR, INTRAVENOUS"
62,Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Injection,"Hikma Pharmaceuticals USA, Inc.",04/10/2020,DEXMEDETOMIDINE HCL,INTRAVENOUS
63,Quinapril Hydrochloride Tablet,Current,Cardiovascular,Tablet,Aurobindo Pharma USA,01/19/2023,QUINAPRIL,ORAL
64,Icatibant Acetate Injection,To Be Discontinued,Hematology,Injection,"Fresenius Kabi USA, LLC",05/07/2026,ICATIBANT,SUBCUTANEOUS
65,Bupivacaine Hydrochloride Injection,To Be Discontinued,Anesthesia,Injection,Kindos Pharmaceuticals Co. Ltd.,05/05/2026,BUPIVACAINE HYDROCHLORIDE,PERINEURAL
67,Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Injection,Pfizer Inc.,04/10/2020,PRECEDEX,INTRAVENOUS
68,Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Injection,Pfizer Inc.,04/10/2020,PRECEDEX,INTRAVENOUS
69,Rocuronium Bromide Injection,Current,Anesthesia,Injection,"Fresenius Kabi USA, LLC",02/15/2023,ROCURONIUM,INTRAVENOUS
71,Bupivacaine Hydrochloride Injection,Current,Anesthesia,Injection,Aspiro Pharma Limited,02/20/2018,BUPIVACAINE HYDROCHLORIDE,"EPIDURAL, RETROBULBAR"
72,Quinapril Hydrochloride Tablet,Current,Cardiovascular,Tablet,Aurobindo Pharma USA,01/19/2023,QUINAPRIL,ORAL
73,Dextrose Monohydrate 5% Injection,Current,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Injection,B. Braun Medical Inc.,02/14/2022,DEXTROSE,INTRAVENOUS
74,Etomidate Injection,Current,Anesthesia,Injection,"Hikma Pharmaceuticals USA, Inc.",10/05/2022,ETOMIDATE,INTRAVENOUS
75,Azithromycin Injection,To Be Discontinued,Anti-Infective,Injection,Pfizer Inc.,01/20/2026,ZITHROMAX,INTRAVENOUS
76,Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Capsule,SpecGx LLC,07/14/2023,LISDEXAMFETAMINE DIMESYLATE,ORAL
77,Amino Acid Injection,Current,Gastroenterology,Injection,Baxter Healthcare,12/08/2020,PREMASOL - SULFITE-FREE (AMINO ACID),INTRAVENOUS
78,Sodium Bicarbonate Injection,Current,"Endocrinology/Metabolism, Gastroenterology, Pediatric",Injection,"Hospira, Inc., a Pfizer Company",03/01/2017,SODIUM BICARBONATE,INTRAVENOUS
79,"Fluvastatin Sodium Tablet, Extended Release",To Be Discontinued,Cardiovascular,Tablet,Sandoz Inc.,01/27/2026,LESCOL XL,ORAL
80,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Tablet,Aurobindo Pharma USA,10/12/2022,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",ORAL
81,Ropivacaine Hydrochloride Injection,Current,Anesthesia,Injection,Eugia US LLC,03/23/2018,ROPIVACAINE HYDROCHLORIDE,"EPIDURAL, INFILTRATION, PERINEURAL"
82,Lidocaine Hydrochloride Injection,Current,Cardiovascular,Injection,B. Braun Medical Inc.,10/25/2017,LIDOCAINE HYDROCHLORIDE AND DEXTROSE,INTRAVENOUS
83,Carboplatin Injection,Current,Oncology,Injection,Teyro Labs,04/28/2023,CARBOPLATIN,INTRAVENOUS
84,Rocuronium Bromide Injection,Current,Anesthesia,Injection,"Meitheal Pharmaceuticals, Inc.",02/15/2023,ROCURONIUM BROMIDE,INTRAVENOUS
85,Gadoterate Meglumine Injection,To Be Discontinued,Medical Imaging,Injection,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.",05/21/2026,GADOTERATE MEGLUMINE,INTRAVENOUS
86,Dextrose Monohydrate 5% Injection,Current,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Injection,Baxter Healthcare,07/20/2026,DEXTROSE,INTRAVENOUS
87,Sodium Acetate Injection,Current,Total Parenteral Nutrition,Injection,"Fresenius Kabi USA, LLC",03/23/2016,SODIUM ACETATE,INTRAVENOUS
88,Liraglutide Injection,Current,Endocrinology/Metabolism,Injection,"Hikma Pharmaceuticals USA, Inc.",07/18/2023,LIRAGLUTIDE,SUBCUTANEOUS
89,Carboplatin Injection,Current,Oncology,Injection,"Hospira, Inc., a Pfizer Company",04/28/2023,CARBOPLATIN,INTRAVENOUS
90,Rocuronium Bromide Injection,Current,Anesthesia,Injection,"Mylan Institutional, a Viatris Company",02/15/2023,ROCURONIUM BROMIDE,INTRAVENOUS
91,Furosemide Oral Solution,Current,Cardiovascular,Oral Solution,"Hikma Pharmaceuticals USA, Inc.",03/31/2026,FUROSEMIDE,ORAL
93,Sodium Bicarbonate Injection,Current,"Endocrinology/Metabolism, Gastroenterology, Pediatric",Injection,"Hospira, Inc., a Pfizer Company",03/01/2017,SODIUM BICARBONATE,INTRAVENOUS
94,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Tablet,"Teva Pharmaceuticals USA, Inc.",10/12/2022,ADDERALL,ORAL
95,Caspofungin Acetate Injection,To Be Discontinued,Anti-Infective,Injection,"Jiangsu Hengrui Pharmaceuticals Co. (US Agent eVenus Pharmaceutical Laboratories, Inc.)",06/30/2026,CASPOFUNGIN ACETATE,INTRAVENOUS
96,Ropivacaine Hydrochloride Injection,Current,Anesthesia,Injection,Eugia US LLC,03/23/2018,ROPIVACAINE HYDROCHLORIDE,"EPIDURAL, PERINEURAL"
97,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Tablet,SpecGx LLC,10/12/2022,DEXTROAMPHETAMINE SACCHARATE AND AMPHETAMINE ASPARTATE AND DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE,ORAL
98,Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,Injection,"Fresenius Kabi USA, LLC",10/31/2017,HYDROMORPHONE HYDROCHLORIDE,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"
100,Methylprednisolone Acetate Injection,Current,Rheumatology,Injection,Amneal Pharmaceuticals,12/15/2021,METHYLPREDNISOLONE ACETATE,"INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE"
101,Dextrose Monohydrate 10% Injection,Current,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Injection,Otsuka ICU Medical LLC,03/01/2022,DEXTROSE,INTRAVENOUS
102,Bupivacaine Hydrochloride Injection,Current,Anesthesia,Injection,"Hospira, Inc., a Pfizer Company",02/20/2018,BUPIVACAINE HYDROCHLORIDE,"INFILTRATION, PERINEURAL"
103,"Guanfacine Hydrochloride Tablet, Extended Release",To Be Discontinued,Psychiatry,Tablet,"Actavis Pharma, Inc.",11/13/2025,GUANFACINE,ORAL
104,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Tablet,"Lannett Company, Inc.",10/12/2022,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",ORAL
106,Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Capsule,Alvogen,07/14/2023,LISDEXAMFETAMINE DIMESYLATE,ORAL
107,Clindamycin Phosphate Injection,Current,Anti-Infective,Injection,Sandoz Inc.,03/21/2023,CLINDAMYCIN IN 5 PERCENT DEXTROSE,INTRAVENOUS
108,Azithromycin Tablet,To Be Discontinued,Anti-Infective,Tablet,Pfizer Inc.,04/09/2026,ZITHROMAX,ORAL
109,Gemcitabine Hydrochloride Injection,To Be Discontinued,Oncology,Injection,"Hospira, Inc., a Pfizer Company",09/11/2025,GEMCITABINE,INTRAVENOUS
110,Furosemide Injection,Current,Cardiovascular,Injection,"Fresenius Kabi USA, LLC",04/07/2020,FUROSEMIDE,"INTRAMUSCULAR, INTRAVENOUS"
111,Bumetanide Injection,Current,Cardiovascular,Injection,"Fresenius Kabi USA, LLC",01/31/2018,BUMETANIDE,"INTRAMUSCULAR, INTRAVENOUS"
112,Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Capsule,Apotex Corp.,11/01/2023,LISDEXAMFETAMINE DIMESYLATE,ORAL
113,Clonazepam Tablet,Current,"Neurology, Pediatric, Psychiatry",Tablet,Rubicon Research Private Limited,03/27/2023,CLONAZEPAM,ORAL
115,Dextrose Monohydrate 70% Injection,Current,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Injection,Otsuka ICU Medical LLC,10/11/2024,DEXTROSE,INTRAVENOUS
116,Heparin Sodium Injection,Current,Hematology,Injection,"Fresenius Kabi USA, LLC",11/14/2017,HEPARIN SODIUM,INTRAVENOUS
117,Acetaminophen; Oxycodone Hydrochloride Tablet,To Be Discontinued,Analgesia/Addiction,Tablet,"Endo Pharmaceuticals, Inc.",11/03/2025,ENDOCET,ORAL
118,Methotrexate Sodium Injection,Current,"Rheumatology, Oncology",Injection,"Hospira, Inc., a Pfizer Company",03/13/2023,METHOTREXATE,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"
119,Dexamethasone Sodium Phosphate Injection,Current,"Dermatology, Endocrinology/Metabolism, Gastroenterology, Hematology, Neurology, Oncology, Ophthalmology, Other, Pulmonary/Allergy, Rheumatology",Injection,"Fresenius Kabi USA, LLC",02/08/2019,DEXAMETHASONE SODIUM PHOSPHATE,"INTRAMUSCULAR, INTRAVENOUS"
120,Bumetanide Injection,Current,Cardiovascular,Injection,"Fresenius Kabi USA, LLC",01/31/2018,BUMETANIDE,"INTRAMUSCULAR, INTRAVENOUS"
121,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Tablet,"Elite Laboratories, Inc.",10/12/2022,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",ORAL
123,Clonazepam Tablet,Current,"Neurology, Pediatric, Psychiatry",Tablet,"Prinston Pharmaceutical, Inc.",03/10/2023,CLONAZEPAM,ORAL
124,Omeprazole Delayed Release Capsule,To Be Discontinued,Gastroenterology,,Sandoz Inc.,10/09/2025,OMEPRAZOLE,ORAL
125,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Current,"Anesthesia, Pediatric",Injection,"Fresenius Kabi USA, LLC",10/14/2016,XYLOCAINE,"INFILTRATION, PERINEURAL"
126,Clonazepam Tablet,Current,"Neurology, Pediatric, Psychiatry",Tablet,"Prinston Pharmaceutical, Inc.",03/10/2023,CLONAZEPAM,ORAL
127,"Guanfacine Hydrochloride Tablet, Extended Release",To Be Discontinued,Psychiatry,Tablet,"Actavis Pharma, Inc.",11/13/2025,GUANFACINE,ORAL
129,Bupivacaine Hydrochloride Injection,Current,Anesthesia,Injection,Aspiro Pharma Limited,02/20/2018,BUPIVACAINE HYDROCHLORIDE,"EPIDURAL, INTRACAUDAL, PERINEURAL"
130,Midazolam Hydrochloride Injection,Current,"Anesthesia, Neurology",Injection,"Fresenius Kabi USA, LLC",04/02/2020,MIDAZOLAM,"INTRAMUSCULAR, INTRAVENOUS"
131,Dextrose Monohydrate 5% Injection,Current,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Injection,Baxter Healthcare,02/14/2022,DEXTROSE,INTRAVENOUS
132,"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Anesthesia,Injection,"Fresenius Kabi USA, LLC",02/20/2018,SENSORCAINE,PERINEURAL
133,Ifosfamide Injection,Current,"Oncology, Pediatric",Injection,Baxter Healthcare,06/12/2026,IFEX,INTRAVENOUS
135,"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Anesthesia,Injection,"Fresenius Kabi USA, LLC",02/20/2018,SENSORCAINE,"INFILTRATION, PERINEURAL"
137,Dobutamine Hydrochloride Injection,Current,"Cardiovascular, Pediatric, Renal",Injection,Baxter Healthcare,11/06/2017,DOBUTAMINE HYDROCHLORIDE IN DEXTROSE,INTRAVENOUS
138,Acetaminophen; Oxycodone Hydrochloride Tablet,To Be Discontinued,Analgesia/Addiction,Tablet,"Endo Pharmaceuticals, Inc.",11/03/2025,ENDOCET,ORAL
139,Hydroxocobalamin Injection,Current,Other,Injection,BTG International Inc.,11/04/2024,CYANOKIT,INTRAVENOUS
140,Ketorolac Tromethamine Injection,Current,Analgesia/Addiction,Injection,"Hospira, Inc., a Pfizer Company",03/26/2018,KETOROLAC TROMETHAMINE,"INTRAMUSCULAR, INTRAVENOUS"
141,Celecoxib Capsule,To Be Discontinued,Analgesia/Addiction,Capsule,"Teva Pharmaceuticals USA, Inc.",08/15/2025,CELECOXIB,ORAL
143,"Doxycycline Hyclate Tablet, Delayed Release",To Be Discontinued,Anti-Infective,Tablet,"Teva Pharmaceuticals USA, Inc.",07/30/2026,DOXYCYCLINE HYCLATE,ORAL
144,Celecoxib Capsule,To Be Discontinued,Analgesia/Addiction,Capsule,"Teva Pharmaceuticals USA, Inc.",08/15/2025,CELECOXIB,ORAL
145,Ifosfamide Injection,Current,"Oncology, Pediatric",Injection,"Hikma Pharmaceuticals USA, Inc.",06/12/2026,IFOSFAMIDE,INTRAVENOUS
146,Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Capsule,Takeda Pharmaceuticals USA Inc.,07/14/2023,VYVANSE,ORAL
149,Ifosfamide Injection,Current,"Oncology, Pediatric",Injection,Baxter Healthcare,06/12/2026,IFOSFAMIDE,INTRAVENOUS
150,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Tablet,Granules Pharmaceuticals Inc.,10/12/2022,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",ORAL
151,Isocarboxazid Tablet,Current,Psychiatry,Tablet,Lifsa Drugs LLC,04/16/2026,MARPLAN,ORAL
152,Lidocaine Hydrochloride Injection,Current,"Anesthesia, Pediatric",Injection,"Fresenius Kabi USA, LLC",02/22/2012,LIDOCAINE,INTRAVENOUS
153,Cobicistat Tablet,To Be Discontinued,Antiviral,Tablet,"Gilead Sciences, Inc.",10/07/2025,TYBOST,ORAL
154,Palivizumab Injection,To Be Discontinued,Antiviral,Injection,Swedish Orphan Biovitrum AB,08/13/2025,SYNAGIS,INTRAMUSCULAR
155,Fentanyl Citrate Injection,Current,"Analgesia/Addiction, Pediatric",Injection,"Hospira, Inc., a Pfizer Company",01/01/2012,FENTANYL CITRATE,"INTRAMUSCULAR, INTRAVENOUS"
157,Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,Injection,"Hospira, Inc., a Pfizer Company",10/31/2017,HYDROMORPHONE HYDROCHLORIDE,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"
158,Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Capsule,"Sun Pharmaceutical Industries, Inc.",07/14/2023,LISDEXAMFETAMINE DIMESYLATE,ORAL
159,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Tablet,Granules Pharmaceuticals Inc.,10/12/2022,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",ORAL
160,Pilocarpine Hydrochloride Tablet,To Be Discontinued,Other,Tablet,"Actavis Pharma, Inc.",09/19/2025,PILOCARPINE HYDROCHLORIDE,ORAL
161,"Fluticasone Propionate and Salmeterol Xinafoate Aerosol, Metered",To Be Discontinued,Pulmonary/Allergy,,GlaxoSmithKline,07/27/2026,ADVAIR HFA,RESPIRATORY (INHALATION)
163,Etomidate Injection,Current,Anesthesia,Injection,"Caplin Steriles, Ltd.",10/05/2022,ETOMIDATE,INTRAVENOUS
164,Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Capsule,"Hikma Pharmaceuticals USA, Inc.",07/14/2023,LISDEXAMFETAMINE DIMESYLATE,ORAL
167,Gadoterate Meglumine Injection,To Be Discontinued,Medical Imaging,Injection,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.",05/21/2026,GADOTERATE MEGLUMINE,INTRAVENOUS
169,Etomidate Injection,Current,Anesthesia,Injection,"Caplin Steriles, Ltd.",10/05/2022,ETOMIDATE,INTRAVENOUS
170,"Methylphenidate Film, Extended Release",Current,Psychiatry,"Film, Extended Release","Noven Pharmaceuticals, Inc.",02/28/2025,METHYLPHENIDATE TRANSDERMAL SYSTEM,TRANSDERMAL
171,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Tablet,"Elite Laboratories, Inc.",10/12/2022,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",ORAL
173,Lidocaine Hydrochloride Injection,Current,Anesthesia,Injection,"Hikma Pharmaceuticals USA, Inc.",06/13/2018,LIDOCAINE HYDROCHLORIDE,"EPIDURAL, INFILTRATION, INTRACAUDAL"
